match_date,surface,best_of,winner,loser,wsets,lsets
2000-02-14,Hard,3,Larsson M.,Schuettler R.,2,1
2000-02-14,Hard,3,Sa A.,Sargsian S.,2,0
2000-02-14,Hard,3,Black B.,Haas T.,2,0
2000-02-14,Hard,3,Larsson M.,Sa A.,2,1
2000-02-14,Hard,3,Larsson M.,Black B.,2,1
2000-02-14,Hard,3,Bjorkman J.,Lapentti N.,2,0
2000-02-14,Hard,3,Dewulf F.,Ivanisevic G.,2,1
2000-02-14,Hard,3,Escude N.,Prinosil D.,2,0
2000-02-14,Hard,3,Golmard J.,Zabaleta M.,2,0
2000-02-14,Hard,3,Grosjean S.,Medvedev A.,2,0
2000-02-14,Hard,3,Henman T.,Martin A.,2,0
2000-02-14,Hard,3,Hrbaty D.,Safin M.,2,1
2000-02-14,Hard,3,Kafelnikov Y.,Kulti N.,2,0
2000-02-14,Hard,3,Kiefer N.,Vacek D.,2,0
2000-02-14,Hard,3,Norman M.,Schalken S.,2,1
