Player_1,Player_2,Winner,Surface
Dupuis A.,Federer R.,Federer R.,Hard
Zabaleta M.,Enqvist T.,Enqvist T.,Hard
Srichaphan P.,Caratti C.,Srichaphan P.,Hard
Behrend T.,Hantschk M.,Hantschk M.,Hard
Chela J.I.,Martin T.,Chela J.I.,Hard
Zabaleta M.,Levy H.,Zabaleta M.,Hard
Schalken S.,Kucera K.,Kucera K.,Hard
Marin J.A.,Chang M.,Chang M.,Hard
Kuerten G.,Alami K.,Kuerten G.,Hard
Corretja A.,Hewitt L.,Hewitt L.,Hard
Gambill J.M.,Delgado R.,Delgado R.,Hard
Sa A.,Sargsian S.,Sa A.,Hard
Krajicek R.,Costa A.,Costa A.,Hard
Ljubicic I.,Federer R.,Federer R.,Hard
Ilie A.,Melzer J.,Ilie A.,Hard
Black W.,Rosset M.,Black W.,Hard
Fromberg R.,Koubek S.,Koubek S.,Hard
Henman T.,Kafelnikov Y.,Henman T.,Hard
Martin T.,Vicente F.,Martin T.,Hard
Ferrero J.C.,Kiefer N.,Kiefer N.,Hard
Massu N.,Sargsian S.,Massu N.,Hard
Pavel A.,Squillari F.,Pavel A.,Hard
Ivanisevic G.,Clavet F.,Clavet F.,Hard
Sampras P.,Lapentti N.,Sampras P.,Hard
Hill M.,Grosjean S.,Grosjean S.,Hard
Woodbridge T.,Fromberg R.,Fromberg R.,Hard
Ivanisevic G.,Clavet F.,Clavet F.,Hard
Alvarez E.,Calleri A.,Calleri A.,Hard
Vacek D.,Black W.,Black W.,Hard
Vacek D.,Stanoytchev O.,Vacek D.,Hard
Zabaleta M.,Mirnyi M.,Mirnyi M.,Hard
Golmard J.,Norman M.,Golmard J.,Hard
Gumy H.,Bruguera S.,Bruguera S.,Hard
Chang M.,Sanguinetti D.,Chang M.,Hard
Ilie A.,Raoux G.,Ilie A.,Hard
Alami K.,Novak J.,Alami K.,Hard
Mirnyi M.,Meligeni F.,Mirnyi M.,Hard
Blanco G.,Chela J.I.,Blanco G.,Hard
Schuettler R.,Costa A.,Costa A.,Hard
Gross O.,Lapentti N.,Lapentti N.,Hard
Diaz J.,Vinciguerra A.,Vinciguerra A.,Hard
Gambill J.M.,Arthurs W.,Gambill J.M.,Hard
Ivanisevic G.,Rosset M.,Rosset M.,Hard
Pioline C.,Rafter P.,Pioline C.,Hard
Wheaton D.,Vinciguerra A.,Wheaton D.,Hard
Clement A.,Kucera K.,Kucera K.,Hard
Kafelnikov Y.,Hrbaty D.,Hrbaty D.,Hard
Mamiit C.,Ferreira W.,Ferreira W.,Hard
Santoro F.,Hrbaty D.,Santoro F.,Hard
Norman M.,Krajicek R.,Norman M.,Hard
Sampras P.,Woodruff C.,Sampras P.,Hard
Lareau S.,Safin M.,Safin M.,Hard
Chela J.I.,Mantilla F.,Mantilla F.,Hard
Pavel A.,Golmard J.,Golmard J.,Hard
Haas T.,Kuerten G.,Haas T.,Hard
Knippschild J.,Witt A.,Knippschild J.,Hard
Saulnier C.,Haas T.,Haas T.,Hard
Schalken S.,Moya C.,Schalken S.,Hard
Jonsson F.,Kroslak J.,Jonsson F.,Hard
Clavet F.,Meligeni F.,Clavet F.,Hard
Philippoussis M.,Ferreira W.,Ferreira W.,Hard
Woodruff C.,Pioline C.,Pioline C.,Hard
Calatrava A.,Bryan M.,Calatrava A.,Hard
Roddick A.,Vicente F.,Roddick A.,Hard
Alami K.,Vicente F.,Alami K.,Hard
Hewitt L.,Savolt A.,Hewitt L.,Hard
Canas G.,Portas A.,Portas A.,Hard
Ivanisevic G.,Schalken S.,Schalken S.,Hard
Jonsson F.,Kroslak J.,Kroslak J.,Hard
Koubek S.,Gaudio G.,Koubek S.,Hard
Clavet F.,Canas G.,Clavet F.,Hard
Kiefer N.,Ferreira W.,Kiefer N.,Hard
Arthurs W.,Rosset M.,Rosset M.,Hard
Blanco G.,Squillari F.,Squillari F.,Hard
Ferrero J.C.,Clavet F.,Ferrero J.C.,Hard
Corretja A.,Krajicek R.,Corretja A.,Hard
Martin T.,Black B.,Martin T.,Hard
Marin J.A.,Schuettler R.,Schuettler R.,Hard
Arazi H.,Santoro F.,Santoro F.,Hard
Bryan B.,Henman T.,Bryan B.,Hard
Lopez-Moron A.,Zib T.,Zib T.,Hard
Vinciguerra A.,Kuerten G.,Kuerten G.,Hard
Escude N.,Sell M.,Sell M.,Hard
Petrovic D.,Hewitt L.,Hewitt L.,Hard
Moya C.,Clement A.,Moya C.,Hard
Stanoytchev O.,Kuerten G.,Kuerten G.,Hard
El Aynaoui Y.,Tieleman L.,El Aynaoui Y.,Hard
Goldstein P.,Harper-Griffith L.,Goldstein P.,Hard
Garcia A.,Blanco G.,Garcia A.,Hard
Costa A.,Hewitt L.,Costa A.,Hard
Huet S.,Stanoytchev O.,Stanoytchev O.,Hard
Puerta M.,Kafelnikov Y.,Puerta M.,Hard
Santoro F.,Pavel A.,Pavel A.,Hard
Bastl G.,Ferreira W.,Ferreira W.,Hard
Portas A.,Pavel A.,Pavel A.,Hard
Rios M.,Ulihrach B.,Ulihrach B.,Hard
Golmard J.,Costa A.,Costa A.,Hard
Goldstein P.,Ruud C.,Goldstein P.,Clay
Kafelnikov Y.,Spadea V.,Kafelnikov Y.,Clay
Safin M.,Moya C.,Safin M.,Clay
Puerta M.,Koubek S.,Puerta M.,Clay
Novak J.,Haas T.,Novak J.,Clay
Hernandez A.,Gaudio G.,Gaudio G.,Clay
Browne F.,Marin J.A.,Browne F.,Clay
Krajicek R.,Zib T.,Krajicek R.,Clay
Gimelstob J.,Kratochvil M.,Kratochvil M.,Clay
Medvedev A.,Norman M.,Norman M.,Clay
Stanoytchev O.,Portas A.,Portas A.,Clay
Tarango J.,Bjorkman J.,Tarango J.,Clay
Vicente F.,Puerta M.,Puerta M.,Clay
Srichaphan P.,Agenor R.,Agenor R.,Clay
Ulihrach B.,Mantilla F.,Ulihrach B.,Clay
Massu N.,Diaz J.,Massu N.,Clay
Ilie A.,Grosjean S.,Grosjean S.,Clay
Agassi A.,Zabaleta M.,Agassi A.,Clay
Meligeni F.,Massu N.,Massu N.,Clay
Sabau R.,Sa A.,Sabau R.,Clay
Martin A.,Berasategui A.,Martin A.,Clay
Moya C.,Zabaleta M.,Moya C.,Clay
Gimelstob J.,Zib T.,Gimelstob J.,Clay
Blake J.,Rusedski G.,Rusedski G.,Clay
Liukko V.,Pozzi G.,Pozzi G.,Clay
Woodruff C.,van Lottum J.,van Lottum J.,Clay
Chela J.I.,Lopez-Moron A.,Chela J.I.,Clay
Ketola T.,Vanek J.,Ketola T.,Clay
Escude N.,Arthurs W.,Escude N.,Clay
Novak J.,Pioline C.,Pioline C.,Clay
Tillstrom M.,Reneberg R.,Tillstrom M.,Clay
Manta L.,Tabara M.,Manta L.,Hard
Rosset M.,Federer R.,Rosset M.,Hard
Mantilla F.,Ferrero J.C.,Ferrero J.C.,Hard
Mirnyi M.,Dupuis A.,Mirnyi M.,Hard
Black B.,Woodruff C.,Black B.,Hard
Ulihrach B.,Zib T.,Zib T.,Hard
